total_cases in 7,-52.501718441081906,40222.47922077921,3797932841.6709857,61627.3708807295,5.483713535567107,7.314486888434615
total_cases in 14,-7.76679966043746,50627.325649350714,3740724682.3705683,61161.46403063426,2.7779162728088687,2.9608781907463637
total_cases in 21,-4.566561532871262,68416.55303030305,6051887978.533701,77793.88136951196,2.3830698850459564,2.3593561691426035
total_cases in 28,-6.203666635319349,107037.04821428574,14323722949.279604,119681.7569610323,2.7395272660461907,2.683964723188319
total_cases in 30,-8.778556339038824,145500.69151515147,22205473254.05904,149015.01016360414,3.485505671768771,3.127068329768127
total_deaths in 7,-45.50777232651256,358.5116883116877,320861.86697166384,566.4467026752507,4.858150643604185,6.819660719310936
total_deaths in 14,-8.322364637920794,423.9779220779232,279159.2079073208,528.3551910479548,2.806473243068995,3.0532547613851015
total_deaths in 21,-4.926764693923408,589.1601731601737,454726.22328414035,674.3339108217385,2.470519895440025,2.4344947512622426
total_deaths in 28,-7.902373667672617,1054.6644480519483,1349256.2890680346,1161.5749175442945,3.1202148198970834,2.9836845791190156
total_deaths in 30,-12.828412954159369,1547.3228787878788,2458662.26117562,1568.0122005825147,4.223042791451634,3.718657412852032
total_vaccinations in 7,-48.746157407530056,759751.98051948,1247938978015.8276,1117111.8914485816,5.446948807345434,7.053095590414896
total_vaccinations in 14,-6.790703320174001,898920.6376623389,1199353030735.2407,1095149.7754806147,2.5465508808336703,2.791183139848405
total_vaccinations in 21,-4.541525974468471,1218402.2396103917,1933823435810.0183,1390619.8027534408,2.3712628388783443,2.354044599082284
total_vaccinations in 28,-6.92190363836363,2009487.8568181817,5031326319575.978,2243061.8180460334,2.9021631985836787,2.814587649792351
total_vaccinations in 30,-11.440868520147676,2922309.625757576,8841697146658.535,2973499.1418627542,3.972873162071396,3.5271615387089486
people_vaccinated in 7,-149.08981154161492,46051.73506493494,6965381053.278272,83458.85844701131,7.6921386239988685,12.25111470608348
people_vaccinated in 14,-23.468535904055575,55627.1912337656,7243449628.956831,85108.45803418619,3.635153182811098,4.946568093542792
people_vaccinated in 21,-12.460122903894488,93392.79025974018,12050808661.3041,109776.175290015,3.6357898813669736,3.6688040154653243
people_vaccinated in 28,-31.19061509275194,231939.90746753238,63910872879.866844,252805.99850451897,5.959353092652715,5.673677387087843
people_vaccinated in 30,-64.32888047996536,371263.84212121245,151037525124.56726,388635.4656031372,8.808537463460679,8.082628315094377
people_fully_vaccinated in 7,-428.91052063422586,102188.0038961055,46406351116.96075,215421.33394109496,11.226580759592848,20.734283701980782
people_fully_vaccinated in 14,-37.82756938670014,128955.4029220787,33688628853.426167,183544.6236026165,5.044188629912107,6.231177207133507
people_fully_vaccinated in 21,-14.493619508743201,274968.8599567098,90835865219.16452,301389.8890460072,4.220981758243262,3.9361935303975084
people_fully_vaccinated in 28,-30.783345117934143,786756.1011363638,728086128996.4156,853279.6311857067,6.0459164992542584,5.637671959056694
people_fully_vaccinated in 30,-72.17987541528092,1431475.6709090904,2131065670779.5464,1459816.9990719885,9.671566413341033,8.554523681379397
new_cases in 7,-1.0221670652996635,791.7038961038961,868605.355413223,931.9899974856077,1.5253810517887272,1.4220292069080942
new_cases in 14,-0.6400783189153445,731.5659090909091,819482.7043137545,905.2528399920955,1.1815785333724882,1.2806554255205982
new_cases in 21,-0.11411072380341025,619.7575757575758,536403.0888882331,732.3954457041858,1.0493315425897278,1.05551443562057
new_cases in 28,-0.7496288093217991,774.4719155844153,860962.9035795454,927.8808671265646,1.2821624570663765,1.3227353512028772
new_cases in 30,-4.313923853974134,1285.525,2459848.8946728646,1568.3905427771697,2.2278776313458475,2.305194970924181
new_deaths in 7,-0.9897360897281804,17.40064935064935,703.6356523022431,26.52613149900006,1.2076937934586658,1.4105800543493376
new_deaths in 14,-1.2964854925629483,17.398051948051947,561.9828069657615,23.7061765572975,1.5035353535353535,1.5154159470465356
new_deaths in 21,-1.695272675520311,18.479870129870132,551.9258372687918,23.49310190819407,1.8355006142506145,1.64172856328941
new_deaths in 28,-1.6402915565012193,18.150811688311688,575.8125641971665,23.996094769715477,1.6828567128236003,1.6248973987612938
new_deaths in 30,-4.8560650813914235,29.81575757575758,1287.2932396694216,35.878868985371064,2.7381818181818183,2.4199308009510156
